"GPIO",                                                   "Native Fn 1",                                                                           "Native Fn 2",                    "Native Fn 3",        "Native Fn 4",    "n/a",  "Native Fn 5",  "n/a",  "Native Fn 7",
"GP_B21",                                                 "GSPI1_MISO",                                                                            "NFC_CLKREQ",                     "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_B22",                                                 "GSPI1_MOSI",                                                                            "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_B23",                                                 "DDI2_HPD",                                                                              "TIME_SYNC_0",                    "GSPI1_CS1_N",        "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"Primary Well Group C (Per-Pad 1.8 V or 3.3 V)",          "n/a",                                                                                   "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_C00",                                                 "n/a",                                                                                   "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_C01",                                                 "n/a",                                                                                   "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_C02",                                                 "n/a",                                                                                   "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_C03",                                                 "n/a",                                                                                   "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_C04",                                                 "n/a",                                                                                   "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_C05",                                                 "n/a",                                                                                   "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_C06",                                                 "n/a",                                                                                   "PMC_SUSWARN_N_PMC_SUSPWRDNACK",  "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_C07",                                                 "n/a",                                                                                   "PMC_SUSACK_N",                   "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_C08",                                                 "UART0_RXD",                                                                             "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_C09",                                                 "UART0_TXD",                                                                             "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_C10",                                                 "UART0_RTS_N",                                                                           "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_C11",                                                 "UART0_CTS_N",                                                                           "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_C12",                                                 "UART1_RXD",                                                                             "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_C13",                                                 "UART1_TXD",                                                                             "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_C14",                                                 "UART1_RTS_N",                                                                           "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_C15",                                                 "UART1_CTS_N",                                                                           "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_C16",                                                 "I2C0_SDA",                                                                              "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
