"GPIO",                                                   "Native Fn 1",                                                                           "Native Fn 2",                    "Native Fn 3",        "Native Fn 4",    "n/a",  "Native Fn 5",  "n/a",  "Native Fn 7",
"GP_DSW03",                                               "PMC_PWRBTN_N",                                                                          "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_DSW04",                                               "PMC_SLP_S3_N",                                                                          "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_DSW05",                                               "PMC_SLP_S4_N",                                                                          "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_DSW06",                                               "PMC_SLP_A_N",                                                                           "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_DSW07",                                               "n/a",                                                                                   "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_DSW08",                                               "PMC_SUSCLK",                                                                            "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_DSW09",                                               "PMC_SLP_WLAN_N",                                                                        "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_DSW10",                                               "PMC_SLP_S5_N",                                                                          "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",

"Deglitch Legend",                                        "n/a",                                                                                   "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"n/a"yes(1) - o/p Hi-Z",                                  " no internal weak pull during respective pin power sequencing"n/a",                     "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"n/a"yes(2) - o/p Hi-Z",                                  " with integrated 20 kohm ± 30% pull-down during respective pin power sequencing "n/a",  "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"n/a"yes(3) - o/p Hi-Z",                                  " with integrated 20 kohm ± 30% pull-up during respective pin power sequence"n/a",       "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"Pin State Legend",                                       "n/a",                                                                                   "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"H- Driven High",                                         "n/a",                                                                                   "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"L - Driven Low",                                         "n/a",                                                                                   "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"Z - Hi-Z",                                               "n/a",                                                                                   "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"PU - Integrated 20 kohm ± 30% pull-up pulls pin high",   "n/a",                                                                                   "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"PD - Integrated 20 kohm ± 30% pull-down pulls pin low",  "n/a",                                                                                   "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"T - Toggling",                                           "n/a",                                                                                   "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
